commune,district,region,province
Vohidahy,Ambositra,Amoron'i Mania,Fianarantsoa
Fandriana,Fandriana,Amoron'i Mania,Fianarantsoa
Milamaina,Fandriana,Amoron'i Mania,Fianarantsoa
Sahamadio Fisakana,Fandriana,Amoron'i Mania,Fianarantsoa
Fiadanana,Fandriana,Amoron'i Mania,Fianarantsoa
Miarinavaratra,Fandriana,Amoron'i Mania,Fianarantsoa
Betsimisotra,Fandriana,Amoron'i Mania,Fianarantsoa
Alakamisy Ambohimahazo,Fandriana,Amoron'i Mania,Fianarantsoa
Imito,Fandriana,Amoron'i Mania,Fianarantsoa
Ambovombe Centre,Manandriana,Amoron'i Mania,Fianarantsoa
Ambohimahazo,Manandriana,Amoron'i Mania,Fianarantsoa
Anjoma Nandihizana,Manandriana,Amoron'i Mania,Fianarantsoa
Ambohimilanja,Manandriana,Amoron'i Mania,Fianarantsoa
Talata Vohimena,Manandriana,Amoron'i Mania,Fianarantsoa
Ambatomarina,Manandriana,Amoron'i Mania,Fianarantsoa
Andakatany,Manandriana,Amoron'i Mania,Fianarantsoa
Ifanadiana,Ifanadiana,Vatovavy,Fianarantsoa
Antaretra,Ifanadiana,Vatovavy,Fianarantsoa
Tsaratanana,Ifanadiana,Vatovavy,Fianarantsoa
Ranomafana,Ifanadiana,Vatovavy,Fianarantsoa
Kelilalina,Ifanadiana,Vatovavy,Fianarantsoa
Androrangavola,Ifanadiana,Vatovavy,Fianarantsoa
Marotoko,Ifanadiana,Vatovavy,Fianarantsoa
Ambohimiera,Ifanadiana,Vatovavy,Fianarantsoa
Antsindra,Ifanadiana,Vatovavy,Fianarantsoa
Ambohimanga Du Sud,Ifanadiana,Vatovavy,Fianarantsoa
Analampasina,Ifanadiana,Vatovavy,Fianarantsoa
Fasintsara,Ifanadiana,Vatovavy,Fianarantsoa
Maroharatra,Ifanadiana,Vatovavy,Fianarantsoa
Nosy Varika,Nosy-Varika,Vatovavy,Fianarantsoa
Ambahy,Nosy-Varika,Vatovavy,Fianarantsoa
Andara,Nosy-Varika,Vatovavy,Fianarantsoa
Fiadanana,Nosy-Varika,Vatovavy,Fianarantsoa
Ambodirian'i Sahafary,Nosy-Varika,Vatovavy,Fianarantsoa
Sahavato,Nosy-Varika,Vatovavy,Fianarantsoa
Vohilava,Nosy-Varika,Vatovavy,Fianarantsoa
Vohitrandriana,Nosy-Varika,Vatovavy,Fianarantsoa
Vohidroa,Nosy-Varika,Vatovavy,Fianarantsoa
Ambakobe,Nosy-Varika,Vatovavy,Fianarantsoa
Soavina,Nosy-Varika,Vatovavy,Fianarantsoa
Befody,Nosy-Varika,Vatovavy,Fianarantsoa
Ambodiara,Nosy-Varika,Vatovavy,Fianarantsoa
Mananjary,Mananjary,Vatovavy,Fianarantsoa
Tsaravary,Mananjary,Vatovavy,Fianarantsoa
Ankatafana,Mananjary,Vatovavy,Fianarantsoa
Ambodilafa,Nosy-Varika,Vatovavy,Fianarantsoa
Androrangavola,Nosy-Varika,Vatovavy,Fianarantsoa
Ampasinambo,Nosy-Varika,Vatovavy,Fianarantsoa
Antanambao,Nosy-Varika,Vatovavy,Fianarantsoa
Angodongodona,Nosy-Varika,Vatovavy,Fianarantsoa
Antsenavolo,Mananjary,Vatovavy,Fianarantsoa
Marosangy,Mananjary,Vatovavy,Fianarantsoa
Ambohimiarina II,Mananjary,Vatovavy,Fianarantsoa
Andranambolava,Mananjary,Vatovavy,Fianarantsoa
Vohilava,Mananjary,Vatovavy,Fianarantsoa
Mahela,Mananjary,Vatovavy,Fianarantsoa
Mahatsara Sud,Mananjary,Vatovavy,Fianarantsoa
Ambohitsara Est,Mananjary,Vatovavy,Fianarantsoa
Tsiatosika,Mananjary,Vatovavy,Fianarantsoa
Mahavoky Nord,Mananjary,Vatovavy,Fianarantsoa
Mahatsara Iefaka,Mananjary,Vatovavy,Fianarantsoa
Andonabe,Mananjary,Vatovavy,Fianarantsoa
Marokarima,Mananjary,Vatovavy,Fianarantsoa
Ambohinihaonana,Mananjary,Vatovavy,Fianarantsoa
Morafeno,Mananjary,Vatovavy,Fianarantsoa
Marofototra,Mananjary,Vatovavy,Fianarantsoa
Andranomavo,Mananjary,Vatovavy,Fianarantsoa
Vatohandrina,Mananjary,Vatovavy,Fianarantsoa
Ambalahosy Nord,Mananjary,Vatovavy,Fianarantsoa
Ambodinonoka,Mananjary,Vatovavy,Fianarantsoa
Antaretra,Mananjary,Vatovavy,Fianarantsoa
Kianjavato,Mananjary,Vatovavy,Fianarantsoa
Sandrohy,Mananjary,Vatovavy,Fianarantsoa
Anosimparihy,Mananjary,Vatovavy,Fianarantsoa
Manakana Nord,Mananjary,Vatovavy,Fianarantsoa
Namorona,Mananjary,Vatovavy,Fianarantsoa
Manakara,Manakara Atsimo,Fitovinany,Fianarantsoa
Tataho,Manakara Atsimo,Fitovinany,Fianarantsoa
Mangatsiotra,Manakara Atsimo,Fitovinany,Fianarantsoa
Marofarihy,Manakara Atsimo,Fitovinany,Fianarantsoa
Anosiala,Manakara Atsimo,Fitovinany,Fianarantsoa
Ambila,Manakara Atsimo,Fitovinany,Fianarantsoa
Sorombo,Manakara Atsimo,Fitovinany,Fianarantsoa
Mizilo Gara,Manakara Atsimo,Fitovinany,Fianarantsoa
Ambohitsara M,Manakara Atsimo,Fitovinany,Fianarantsoa
Sahasinaka,Manakara Atsimo,Fitovinany,Fianarantsoa
Sahanambohitra,Manakara Atsimo,Fitovinany,Fianarantsoa
Ambahatrazo,Manakara Atsimo,Fitovinany,Fianarantsoa
Amboanjo,Manakara Atsimo,Fitovinany,Fianarantsoa
Anorombato,Manakara Atsimo,Fitovinany,Fianarantsoa
Vohimasy,Manakara Atsimo,Fitovinany,Fianarantsoa
Lokomby,Manakara Atsimo,Fitovinany,Fianarantsoa
Vatana,Manakara Atsimo,Fitovinany,Fianarantsoa
Sakoana,Manakara Atsimo,Fitovinany,Fianarantsoa
Ambahive,Manakara Atsimo,Fitovinany,Fianarantsoa
Ambandrika,Manakara Atsimo,Fitovinany,Fianarantsoa
Ambalaroka,Manakara Atsimo,Fitovinany,Fianarantsoa
Vohimanitra,Manakara Atsimo,Fitovinany,Fianarantsoa
Mitanty,Manakara Atsimo,Fitovinany,Fianarantsoa
Analavory,Manakara Atsimo,Fitovinany,Fianarantsoa
Mavorano,Manakara Atsimo,Fitovinany,Fianarantsoa
Vohimasina Nord,Manakara Atsimo,Fitovinany,Fianarantsoa
Vohimasina Sud,Manakara Atsimo,Fitovinany,Fianarantsoa
Betampona,Manakara Atsimo,Fitovinany,Fianarantsoa
Vohilava,Manakara Atsimo,Fitovinany,Fianarantsoa
Bekatra,Manakara Atsimo,Fitovinany,Fianarantsoa
Vinanitelo,Manakara Atsimo,Fitovinany,Fianarantsoa
Ampasimanjeva,Manakara Atsimo,Fitovinany,Fianarantsoa
Ambotaka,Manakara Atsimo,Fitovinany,Fianarantsoa
Nihaonana,Manakara Atsimo,Fitovinany,Fianarantsoa
Fenomby,Manakara Atsimo,Fitovinany,Fianarantsoa
Ambalavero,Manakara Atsimo,Fitovinany,Fianarantsoa
Amborondra,Manakara Atsimo,Fitovinany,Fianarantsoa
Mahabako,Manakara Atsimo,Fitovinany,Fianarantsoa
Onilahy,Manakara Atsimo,Fitovinany,Fianarantsoa
Mahamaibe,Manakara Atsimo,Fitovinany,Fianarantsoa
Kianjanomby,Manakara Atsimo,Fitovinany,Fianarantsoa
Ampasimpotsy Sud,Manakara Atsimo,Fitovinany,Fianarantsoa
Anteza,Manakara Atsimo,Fitovinany,Fianarantsoa
Saharefo,Manakara Atsimo,Fitovinany,Fianarantsoa
Amborompotsy,Ambatofinandrahana,Amoron'i Mania,Fianarantsoa
Mandrosonoro,Ambatofinandrahana,Amoron'i Mania,Fianarantsoa
Mangataboahangy,Ambatofinandrahana,Amoron'i Mania,Fianarantsoa
Ambositra I,Ambositra,Amoron'i Mania,Fianarantsoa
Ambositra II,Ambositra,Amoron'i Mania,Fianarantsoa
Ampasimboraka,Manakara Atsimo,Fitovinany,Fianarantsoa
Ikongo,Ikongo,Fitovinany,Fianarantsoa
Ambolomadinika,Ikongo,Fitovinany,Fianarantsoa
Ambatofotsy,Ikongo,Fitovinany,Fianarantsoa
Belemoka,Ikongo,Fitovinany,Fianarantsoa
Maromiandra,Ikongo,Fitovinany,Fianarantsoa
Manampatrana,Ikongo,Fitovinany,Fianarantsoa
Ambinanitromby,Ikongo,Fitovinany,Fianarantsoa
Ifanirea,Ikongo,Fitovinany,Fianarantsoa
Tanakambana,Ikongo,Fitovinany,Fianarantsoa
Vohindava,Vohipeno,Fitovinany,Fianarantsoa
Ivato,Vohipeno,Fitovinany,Fianarantsoa
Savana,Vohipeno,Fitovinany,Fianarantsoa
Anoloka,Vohipeno,Fitovinany,Fianarantsoa
Mahabo,Vohipeno,Fitovinany,Fianarantsoa
Sahalanona,Ikongo,Fitovinany,Fianarantsoa
Tolongoina,Ikongo,Fitovinany,Fianarantsoa
Ambohimisafy,Ikongo,Fitovinany,Fianarantsoa
Vohipeno,Vohipeno,Fitovinany,Fianarantsoa
Vohitrindry,Vohipeno,Fitovinany,Fianarantsoa
Ankarimbary,Vohipeno,Fitovinany,Fianarantsoa
Lanivo,Vohipeno,Fitovinany,Fianarantsoa
Nato,Vohipeno,Fitovinany,Fianarantsoa
Mahasoabe,Vohipeno,Fitovinany,Fianarantsoa
Onjatsy,Vohipeno,Fitovinany,Fianarantsoa
Vohilany,Vohipeno,Fitovinany,Fianarantsoa
Andemaka,Vohipeno,Fitovinany,Fianarantsoa
Ifatsy,Vohipeno,Fitovinany,Fianarantsoa
Antananabo,Vohipeno,Fitovinany,Fianarantsoa
Ilakatra,Vohipeno,Fitovinany,Fianarantsoa
Sahalava,Vohipeno,Fitovinany,Fianarantsoa
Mahazoarivo,Vohipeno,Fitovinany,Fianarantsoa
Ihosy,Ihosy,Ihorombe,Fianarantsoa
Ankily,Ihosy,Ihorombe,Fianarantsoa
Ambia,Ihosy,Ihorombe,Fianarantsoa
Tolohomiady,Ihosy,Ihorombe,Fianarantsoa
Irina,Ihosy,Ihorombe,Fianarantsoa
Sahambano,Ihosy,Ihorombe,Fianarantsoa
Analaliry,Ihosy,Ihorombe,Fianarantsoa
Mahasoa,Ihosy,Ihorombe,Fianarantsoa
Ambatolahy,Ihosy,Ihorombe,Fianarantsoa
Soamatasy,Ihosy,Ihorombe,Fianarantsoa
Zazafotsy,Ihosy,Ihorombe,Fianarantsoa
Antsoha,Ihosy,Ihorombe,Fianarantsoa
Sakalalina,Ihosy,Ihorombe,Fianarantsoa
Anosivelo,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Anosy Tsararafa,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Vohitromby,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Ivandrika,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Manambotra Atsimo,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Satrokala,Ihosy,Ihorombe,Fianarantsoa
Andiolava,Ihosy,Ihorombe,Fianarantsoa
Analavoka,Ihosy,Ihorombe,Fianarantsoa
Ranohira,Ihosy,Ihorombe,Fianarantsoa
Ilakaka,Ihosy,Ihorombe,Fianarantsoa
Mahavelo,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Mahafasa Centre,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Amporoforo,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Iabohazo,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Tangainony,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Menamaty Iloto,Ihosy,Ihorombe,Fianarantsoa
Ivohibe,Ivohibe,Ihorombe,Fianarantsoa
Antambohobe,Ivohibe,Ihorombe,Fianarantsoa
Maropaika,Ivohibe,Ihorombe,Fianarantsoa
Ivongo,Ivohibe,Ihorombe,Fianarantsoa
Iakora,Iakora,Ihorombe,Fianarantsoa
Ranotsara Nord,Iakora,Ihorombe,Fianarantsoa
Begogo,Iakora,Ihorombe,Fianarantsoa
Farafangana,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Vohimasy,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Beretra Bevoay,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Ambohigogo,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Maheriraty,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Mahabo Mananivo,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Ambohimandroso,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Ankarana Miraihina,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Evato,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Etrotroka Atsimo,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Ambalavato Nord,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Efatsy,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Tovona,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Ambalatany,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Namohora Iaborano,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Sahamadio,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Fenoarivo,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Antseranambe,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Ihorombe,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Ambalavato Antevato,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Vohilengo,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Marovandrika,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Soamanova,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Lopary,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Bema,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Vohitrambo,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Anilobe,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Vangaindrano,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Ampasimalemy,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Tsianofana,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Bekaraoky,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Tsiately,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Lohafary,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Ampataka,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Matanga,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Masianaka,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Vohipaho,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Bevata,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Karimbary,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Manambondro,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Fenoambany,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Isahara,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Marokibo,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Ranomena,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Ambongo,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Ambatolava,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Iara,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Vondrozo,Vondrozo,Atsimo-Atsinanana,Fianarantsoa
Manambidala,Vondrozo,Atsimo-Atsinanana,Fianarantsoa
Anandravy,Vondrozo,Atsimo-Atsinanana,Fianarantsoa
Mahatsinjo,Vondrozo,Atsimo-Atsinanana,Fianarantsoa
Mahazoarivo,Vondrozo,Atsimo-Atsinanana,Fianarantsoa
Iamonta,Vondrozo,Atsimo-Atsinanana,Fianarantsoa
Vohimary,Vondrozo,Atsimo-Atsinanana,Fianarantsoa
Antokonala,Vondrozo,Atsimo-Atsinanana,Fianarantsoa
Ambohimana,Vondrozo,Atsimo-Atsinanana,Fianarantsoa
Karianga,Vondrozo,Atsimo-Atsinanana,Fianarantsoa
Vohimalaza,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Vatanato,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Amparihy Est,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Sandravinany,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Nosifeno,Midongy-Atsimo,Atsimo-Atsinanana,Fianarantsoa
Ankazovelo,Midongy-Atsimo,Atsimo-Atsinanana,Fianarantsoa
Andranolalina,Midongy-Atsimo,Atsimo-Atsinanana,Fianarantsoa
Maliorano,Midongy-Atsimo,Atsimo-Atsinanana,Fianarantsoa
Ivondro,Midongy-Atsimo,Atsimo-Atsinanana,Fianarantsoa
Soakibany,Midongy-Atsimo,Atsimo-Atsinanana,Fianarantsoa
Ambodimanga,Toamasina I,Atsinanana,Toamasina
Anjoma,Toamasina I,Atsinanana,Toamasina
Morarano,Toamasina I,Atsinanana,Toamasina
Tanambao V,Toamasina I,Atsinanana,Toamasina
Ankirihiry,Toamasina I,Atsinanana,Toamasina
Manato,Vondrozo,Atsimo-Atsinanana,Fianarantsoa
Ivato,Vondrozo,Atsimo-Atsinanana,Fianarantsoa
Mahavelo,Vondrozo,Atsimo-Atsinanana,Fianarantsoa
Andakana,Vondrozo,Atsimo-Atsinanana,Fianarantsoa
Moroteza,Vondrozo,Atsimo-Atsinanana,Fianarantsoa
Brickaville,Brickaville,Atsinanana,Toamasina
Vohitranivona,Brickaville,Atsinanana,Toamasina
Anivorano Est,Brickaville,Atsinanana,Toamasina
Mahatsara,Brickaville,Atsinanana,Toamasina
Andovoranto,Brickaville,Atsinanana,Toamasina
Vohiboreka,Vondrozo,Atsimo-Atsinanana,Fianarantsoa
Befotaka Sud,Befotaka,Atsimo-Atsinanana,Fianarantsoa
Ranotsara Sud,Befotaka,Atsimo-Atsinanana,Fianarantsoa
Beharena,Befotaka,Atsimo-Atsinanana,Fianarantsoa
Bekofafa Sud,Befotaka,Atsimo-Atsinanana,Fianarantsoa
Ambinaninony,Brickaville,Atsinanana,Toamasina
Fetraomby,Brickaville,Atsinanana,Toamasina
Vohipeno Razanaka,Brickaville,Atsinanana,Toamasina
Ranomafana Est,Brickaville,Atsinanana,Toamasina
Ampasimbe,Brickaville,Atsinanana,Toamasina
Tanambao Vahatrakaka,Vatomandry,Atsinanana,Toamasina
Tsarasambo,Vatomandry,Atsinanana,Toamasina
Sahamatevina,Vatomandry,Atsinanana,Toamasina
Antanambao Mahatsara,Vatomandry,Atsinanana,Toamasina
Iamborano,Vatomandry,Atsinanana,Toamasina
Ambohimanana,Brickaville,Atsinanana,Toamasina
Anjahamana,Brickaville,Atsinanana,Toamasina
Vatomandry,Vatomandry,Atsinanana,Toamasina
Ambodivoananto,Vatomandry,Atsinanana,Toamasina
Maintinandry,Vatomandry,Atsinanana,Toamasina
Tsivangiana,Vatomandry,Atsinanana,Toamasina
Ampasimazava,Vatomandry,Atsinanana,Toamasina
Ampasimadinika,Vatomandry,Atsinanana,Toamasina
Ifasina I,Vatomandry,Atsinanana,Toamasina
Ambalabe,Vatomandry,Atsinanana,Toamasina
Ambalavolo,Vatomandry,Atsinanana,Toamasina
Amboditavolo,Vatomandry,Atsinanana,Toamasina
Niherenana,Vatomandry,Atsinanana,Toamasina
Ilaka Est,Vatomandry,Atsinanana,Toamasina
Niarovana Caroline,Vatomandry,Atsinanana,Toamasina
Fanasana,Brickaville,Atsinanana,Toamasina
Ambalarondra,Brickaville,Atsinanana,Toamasina
Maroseranana,Brickaville,Atsinanana,Toamasina
Lohariandava,Brickaville,Atsinanana,Toamasina
Andekaleka,Brickaville,Atsinanana,Toamasina
Ifasina II,Vatomandry,Atsinanana,Toamasina
Mahanoro,Mahanoro,Atsinanana,Toamasina
Betsizaraina,Mahanoro,Atsinanana,Toamasina
Tsaravinany,Mahanoro,Atsinanana,Toamasina
Ambodiharina,Mahanoro,Atsinanana,Toamasina
Manjakandriana,Mahanoro,Atsinanana,Toamasina
Masomeloka,Mahanoro,Atsinanana,Toamasina
Ambinanidilana,Mahanoro,Atsinanana,Toamasina
Ambodibonara,Mahanoro,Atsinanana,Toamasina
Ankazotsifantatra,Mahanoro,Atsinanana,Toamasina
Ambinanindrano,Mahanoro,Atsinanana,Toamasina
Befotaka,Mahanoro,Atsinanana,Toamasina
Marolambo,Marolambo,Atsinanana,Toamasina
Betampona,Marolambo,Atsinanana,Toamasina
Tanambao Rabemanana,Marolambo,Atsinanana,Toamasina
Androrangavola,Marolambo,Atsinanana,Toamasina
Anosiarivo I,Marolambo,Atsinanana,Toamasina
Amboasary,Marolambo,Atsinanana,Toamasina
Lohavanana,Marolambo,Atsinanana,Toamasina
Ambodinonoka,Marolambo,Atsinanana,Toamasina
Sahakevo,Marolambo,Atsinanana,Toamasina
Toamasina Suburbaine,Toamasina II,Atsinanana,Toamasina
Antetezambaro,Toamasina II,Atsinanana,Toamasina
Fanandrana,Toamasina II,Atsinanana,Toamasina
Ambodiriana,Toamasina II,Atsinanana,Toamasina
Ampasimadinika Manambolo,Toamasina II,Atsinanana,Toamasina
Amboditandroroho,Toamasina II,Atsinanana,Toamasina
Mahavelona (Foulpointe),Toamasina II,Atsinanana,Toamasina
Sahambala,Toamasina II,Atsinanana,Toamasina
Ambodilazana,Toamasina II,Atsinanana,Toamasina
Andonabe Sud,Marolambo,Atsinanana,Toamasina
Ambalapaiso II,Marolambo,Atsinanana,Toamasina
Ambodivoangy,Marolambo,Atsinanana,Toamasina
Ambohimilanja,Marolambo,Atsinanana,Toamasina
Ambatofisaka II,Marolambo,Atsinanana,Toamasina
Ampasimbe Onibe,Toamasina II,Atsinanana,Toamasina
Mangabe,Toamasina II,Atsinanana,Toamasina
Amporoforo,Toamasina II,Atsinanana,Toamasina
Antenina,Toamasina II,Atsinanana,Toamasina
Andondabe,Toamasina II,Atsinanana,Toamasina
Saivaza,Antanambao Manampontsy,Atsinanana,Toamasina
Antanandehibe,Antanambao Manampontsy,Atsinanana,Toamasina
Manakana,Antanambao Manampontsy,Atsinanana,Toamasina
Sainte Marie,Sainte Marie,Analanjirofo,Toamasina
Maroantsetra,Maroantsetra,Ambatosoa,Toamasina
Ampisokina,Toamasina II,Atsinanana,Toamasina
Andranobolaha,Toamasina II,Atsinanana,Toamasina
Fito,Toamasina II,Atsinanana,Toamasina
Antanambao Manampontsy,Antanambao Manampontsy,Atsinanana,Toamasina
Mahela,Antanambao Manampontsy,Atsinanana,Toamasina
Anjanazana,Maroantsetra,Ambatosoa,Toamasina
Manambolo,Maroantsetra,Ambatosoa,Toamasina
Andranofotsy,Maroantsetra,Ambatosoa,Toamasina
Antakotako,Maroantsetra,Ambatosoa,Toamasina
Ankofa,Maroantsetra,Ambatosoa,Toamasina
Ankofabe,Maroantsetra,Ambatosoa,Toamasina
Antsirabe Sahatany,Maroantsetra,Ambatosoa,Toamasina
Rantabe,Maroantsetra,Ambatosoa,Toamasina
Morafeno,Maroantsetra,Ambatosoa,Toamasina
Androndrono,Maroantsetra,Ambatosoa,Toamasina
Ambodimanga Rantabe,Maroantsetra,Ambatosoa,Toamasina
Anandrivola,Maroantsetra,Ambatosoa,Toamasina
Mananara Avaratra,Mananara-Avaratra,Ambatosoa,Toamasina
Ambodivoanio,Mananara-Avaratra,Ambatosoa,Toamasina
Imorona,Mananara-Avaratra,Ambatosoa,Toamasina
Antanambaobe,Mananara-Avaratra,Ambatosoa,Toamasina
Antanananivo,Mananara-Avaratra,Ambatosoa,Toamasina
Manambolosy,Mananara-Avaratra,Ambatosoa,Toamasina
Ambodiampana,Mananara-Avaratra,Ambatosoa,Toamasina
Sandrakatsy,Mananara-Avaratra,Ambatosoa,Toamasina
Tanibe,Mananara-Avaratra,Ambatosoa,Toamasina
Ambatoharanana,Mananara-Avaratra,Ambatosoa,Toamasina
Fotsialanana,Soanierana Ivongo,Analanjirofo,Toamasina
Antanifotsy,Soanierana Ivongo,Analanjirofo,Toamasina
Ambodiampana,Soanierana Ivongo,Analanjirofo,Toamasina
Ambinanitelo,Maroantsetra,Ambatosoa,Toamasina
Anjahana,Maroantsetra,Ambatosoa,Toamasina
Ambanizana,Maroantsetra,Ambatosoa,Toamasina
Mahalevona,Maroantsetra,Ambatosoa,Toamasina
Voloina,Maroantsetra,Ambatosoa,Toamasina
Andranofasika,Ambato Boeni,Boeny,Mahajanga
Madirovalo,Ambato Boeni,Boeny,Mahajanga
Anjiajia,Ambato Boeni,Boeny,Mahajanga
Andranomeva,Port-Berge (Boriziny-Vaovao),Sofia,Mahajanga
Amparihy,Port-Berge (Boriziny-Vaovao),Sofia,Mahajanga
Leanja,Port-Berge (Boriziny-Vaovao),Sofia,Mahajanga
Marovato,Port-Berge (Boriziny-Vaovao),Sofia,Mahajanga
Ambodimahabibo,Port-Berge (Boriziny-Vaovao),Sofia,Mahajanga
Ambodivongo,Port-Berge (Boriziny-Vaovao),Sofia,Mahajanga
Besalampy,Besalampy,Melaky,Mahajanga
Vanono,Mananara-Avaratra,Ambatosoa,Toamasina
Andasibe I,Mananara-Avaratra,Ambatosoa,Toamasina
Fenerive Est,Fenerive Est,Analanjirofo,Toamasina
Ambodimanga II,Fenerive Est,Analanjirofo,Toamasina
Mahambo,Fenerive Est,Analanjirofo,Toamasina
Ampako,Besalampy,Melaky,Mahajanga
Marovoay Sud,Besalampy,Melaky,Mahajanga
Mandronarivo,Beroroha,Atsimo-Andrefana,Toliara
Tanamary,Beroroha,Atsimo-Andrefana,Toliara
Sakena,Beroroha,Atsimo-Andrefana,Toliara
Miorimivalana,Fenerive Est,Analanjirofo,Toamasina
Vohipeno,Fenerive Est,Analanjirofo,Toamasina
Antsiatsiaka,Fenerive Est,Analanjirofo,Toamasina
Mahanoro,Fenerive Est,Analanjirofo,Toamasina
Vavatenina,Vavatenina,Analanjirofo,Toamasina
Antanimieva,Morombe,Atsimo-Andrefana,Toliara
Basibasy,Morombe,Atsimo-Andrefana,Toliara
Ankazoabo Sud,Ankazoabo,Atsimo-Andrefana,Toliara
Antanambe,Mananara-Avaratra,Ambatosoa,Toamasina
Saromaona,Mananara-Avaratra,Ambatosoa,Toamasina
Maromitety,Vavatenina,Analanjirofo,Toamasina
Ambohibe,Vavatenina,Analanjirofo,Toamasina
Ampasimazava,Vavatenina,Analanjirofo,Toamasina
Anjahambe,Vavatenina,Analanjirofo,Toamasina
Ambatoharanana,Vavatenina,Analanjirofo,Toamasina
Andasibe,Vavatenina,Analanjirofo,Toamasina
Miarinarivo,Vavatenina,Analanjirofo,Toamasina
Sahatavy,Vavatenina,Analanjirofo,Toamasina
Ambodimangavalo,Vavatenina,Analanjirofo,Toamasina
Soanierana Ivongo,Soanierana Ivongo,Analanjirofo,Toamasina
Bedidy,Amparafaravola,Alaotra-Mangoro,Toamasina
Ambohimandroso,Amparafaravola,Alaotra-Mangoro,Toamasina
Sahamamy,Amparafaravola,Alaotra-Mangoro,Toamasina
Ambatomainty,Amparafaravola,Alaotra-Mangoro,Toamasina
Ampasikely,Amparafaravola,Alaotra-Mangoro,Toamasina
Ampasina Maningory,Fenerive Est,Analanjirofo,Toamasina
Ambatoharanana,Fenerive Est,Analanjirofo,Toamasina
Vohilengo,Fenerive Est,Analanjirofo,Toamasina
Saranambana,Fenerive Est,Analanjirofo,Toamasina
Ampasimbe Manantsatrana,Fenerive Est,Analanjirofo,Toamasina
Andapafito,Soanierana Ivongo,Analanjirofo,Toamasina
Ambahoabe,Soanierana Ivongo,Analanjirofo,Toamasina
Manompana,Soanierana Ivongo,Analanjirofo,Toamasina
Antenina,Soanierana Ivongo,Analanjirofo,Toamasina
